environment,command,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
quiet,backward,-380.02,88.998856,-14.541933,12.665226,2.5441675,-18.692562,1.3412547,-13.953045,1.4916587,-0.8651361,-10.428318,-0.4823353,-4.1203423
quiet,backward,-376.05948,97.00188,-10.266093,14.846931,3.7396958,-19.651522,5.039533,-12.723971,5.6293607,-2.8671,-13.525095,-1.3751758,-10.12568
quiet,backward,-364.05685,97.7328,-7.3343744,13.410721,0.84626174,-18.0173,-3.0945864,-14.175844,4.676325,4.1032505,-9.046583,1.1212145,-7.376837
quiet,backward,-397.43475,90.03943,-9.248964,10.543718,1.287141,-24.171112,4.1464243,-14.283041,2.3185887,0.42205134,-11.392792,-1.0510502,-4.7939816
quiet,backward,-360.61255,90.83853,-14.953515,8.073175,0.099126235,-21.255327,-2.7007034,-10.565027,-0.44348788,-2.161796,-9.228381,-4.0492725,-5.3215075
quiet,backward,-324.4656,99.667885,-16.632431,3.3640928,2.8319678,-21.2961,-1.1718189,-8.423036,2.979346,-3.0529644,-9.515053,-1.0928956,-8.368575
quiet,backward,-326.61703,93.0074,-17.838377,9.003681,2.7516782,-21.946133,-2.8545697,-12.555721,-0.61012596,-0.1225934,-9.039774,-3.8987608,-1.3937914
quiet,backward,-303.86343,83.41748,-15.030272,8.27151,0.22427887,-17.002007,0.897556,-13.699915,0.16847014,-0.5569813,-8.183465,-3.8847961,-9.55576
quiet,backward,-315.70605,96.82315,-18.722008,8.788105,-3.659196,-19.409025,2.6167717,-11.849863,4.9046116,2.179798,-11.328167,-3.792396,-5.065666
quiet,forward,-413.34842,84.904724,-17.533587,7.29461,-6.359646,-13.089338,-3.38668,-9.775795,2.9082224,7.3197675,-7.673301,-0.70360446,-3.7335489
quiet,forward,-371.8376,97.12287,-11.865473,10.694572,-5.3896074,-10.858285,-6.172886,-14.038564,-2.1959329,2.3059635,-12.984749,0.24297075,0.27688044
quiet,forward,-415.25928,88.41505,-6.882811,12.070588,-1.3819001,-5.154009,-0.7931693,-9.343602,-0.2621315,6.144844,-10.567485,-4.8556824,-4.2709303
quiet,forward,-384.86377,98.10033,-15.210604,7.7736187,-0.5685076,-4.3127346,-1.6243927,-9.771181,-1.0813028,6.912363,-8.6705475,-0.83309656,-2.6154706
quiet,forward,-369.05603,76.69635,-18.399347,13.929704,-2.19011,-9.394236,-4.5953617,-9.51638,-4.692452,3.1899781,-12.63821,1.4475338,-4.3258314
quiet,forward,-343.05145,86.68833,-29.673147,10.66538,-6.254779,-7.8295884,-15.942498,-11.69934,-2.1120725,6.79894,-10.213381,-4.2819185,-5.413256
quiet,forward,-386.05878,80.341805,-14.660956,8.653821,-6.047373,-3.9512122,-1.3513753,-9.818421,-2.8696241,5.139548,-14.848492,-2.958332,-1.8994933
quiet,forward,-338.90637,79.96201,-19.094788,12.905469,-4.9119554,-5.0100603,-9.685517,-9.9071665,-2.9967265,6.6639385,-13.272964,-3.4822416,-3.1864214
quiet,forward,-383.1236,80.908516,-11.646758,3.9285803,-6.8191533,-12.17994,-0.65273666,-12.407576,1.6700625,3.7569444,-9.876292,-3.3531976,-6.5034494
quiet,left,-325.22308,67.15938,-7.8300653,19.990728,4.497957,-11.186697,-2.0650485,-8.828837,-0.83874047,-1.5456859,-10.135021,4.6923203,-4.2517514
quiet,left,-428.23813,69.661476,-6.2935715,21.638731,4.106286,-16.516912,4.8003078,-13.081385,-1.2385373,1.6884009,-13.795705,0.6522493,-8.08073
quiet,left,-367.68286,60.322365,-6.4910917,20.662012,-1.0523822,-10.484813,1.0085695,-11.678566,-0.7379584,-0.66588163,-13.377549,5.7318087,-6.332716
quiet,left,-294.16827,71.31921,-13.505204,14.570708,1.4323897,-13.302105,-4.220611,-3.9119952,-0.9387766,0.30760524,-12.290628,3.0186756,-6.95201
quiet,left,-364.79877,60.099243,-12.381839,21.637457,3.6366498,-14.049071,3.5739858,-11.567164,-2.9841993,-0.42579198,-12.804635,1.3051028,-6.981493
